keyword_country,keyword_raw,keyword,kw_match,kw_match_lower,is_hashtag,is_ascii,is_cjk,stance_original,stance_primary,notes,context,match_mode,regex_pattern
Global,#AidToo,#AidToo,AidToo,aidtoo,True,True,False,Support,Support,,"2018, after Oxfam Haiti sexual exploitation scandal; abuse in the humanitarian sector.",regex,(?:^|[^\p{L}\p{N}_])aidtoo(?:[^\p{L}\p{N}_]|$)
Global,#BelieveWomen / #BelieveSurvivors,#BelieveWomen,BelieveWomen,believewomen,True,True,False,Support,Support,,"Solidarity tags; note critics use the strawman variant #BelieveAllWomen mockingly, so that variant skews backlash.",regex,(?:^|[^\p{L}\p{N}_])believewomen(?:[^\p{L}\p{N}_]|$)
Global,#BelieveWomen / #BelieveSurvivors,#BelieveSurvivors,BelieveSurvivors,believesurvivors,True,True,False,Support,Support,,"Solidarity tags; note critics use the strawman variant #BelieveAllWomen mockingly, so that variant skews backlash.",regex,(?:^|[^\p{L}\p{N}_])believesurvivors(?:[^\p{L}\p{N}_]|$)
Global,#ChurchToo,#ChurchToo,ChurchToo,churchtoo,True,True,False,Support,Support,,"Nov 2017, Emily Joy and Hannah Paasch; abuse in (mainly evangelical) churches. Strong uptake in US and Nigeria.",regex,(?:^|[^\p{L}\p{N}_])churchtoo(?:[^\p{L}\p{N}_]|$)
Global,#GymnastAlliance,#GymnastAlliance,GymnastAlliance,gymnastalliance,True,True,False,Support,Support,,"July 2020, gymnasts (starting in UK) disclosing abusive coaching; spread internationally; follows US Larry Nassar case.",regex,(?:^|[^\p{L}\p{N}_])gymnastalliance(?:[^\p{L}\p{N}_]|$)
Global,#HimToo,#HimToo,HimToo,himtoo,True,True,False,Backlash / Ambiguous,Backlash,,Multiple meanings over time; peaked Oct 2018 (Kavanaugh) as a men-fear-false-accusations meme after a mother's tweet about her son Pieter Hanson; Hanson repudiated it and the tag was flooded with satire (#ThatWasMyMom). Treat as predominantly backlash but heavily satirical in practice - critical for stance labeling.,regex,(?:^|[^\p{L}\p{N}_])himtoo(?:[^\p{L}\p{N}_]|$)
Global,#IHave / #IDidThat,#IHave,IHave,ihave,True,True,False,Support,Support,,Men acknowledging past behavior in response to MeToo.,regex,(?:^|[^\p{L}\p{N}_])ihave(?:[^\p{L}\p{N}_]|$)
Global,#IHave / #IDidThat,#IDidThat,IDidThat,ididthat,True,True,False,Support,Support,,Men acknowledging past behavior in response to MeToo.,regex,(?:^|[^\p{L}\p{N}_])ididthat(?:[^\p{L}\p{N}_]|$)
Global,#MeToo,#MeToo,MeToo,metoo,True,True,False,Support,Support,,Coined by Tarana Burke (2006); went viral 15 Oct 2017 via Alyssa Milano tweet after Harvey Weinstein exposes (NYT/New Yorker).,regex,(?:^|[^\p{L}\p{N}_])metoo(?:[^\p{L}\p{N}_]|$)
Global,#MeTooEP,#MeTooEP,MeTooEP,metooep,True,True,False,Support,Support,,"Oct 2017+, staffers exposing harassment inside the European Parliament.",regex,(?:^|[^\p{L}\p{N}_])metooep(?:[^\p{L}\p{N}_]|$)
Global,#MeTooSTEM,#MeTooSTEM,MeTooSTEM,metoostem,True,True,False,Support,Support,,"2018+, harassment in science/academia (BethAnn McLaughlin).",regex,(?:^|[^\p{L}\p{N}_])metoostem(?:[^\p{L}\p{N}_]|$)
Global,#MenToo,#MenToo,MenToo,mentoo,True,True,False,Backlash,Backlash,,Men's-rights framing positioning men as the movement's victims; especially prominent in India from 2019.,regex,(?:^|[^\p{L}\p{N}_])mentoo(?:[^\p{L}\p{N}_]|$)
Global,#MosqueMeToo,#MosqueMeToo,MosqueMeToo,mosquemetoo,True,True,False,Support,Support,,"Feb 2018, Mona Eltahawy; harassment during hajj and in Muslim spaces.",regex,(?:^|[^\p{L}\p{N}_])mosquemetoo(?:[^\p{L}\p{N}_]|$)
Global,#NotAllMen,#NotAllMen,NotAllMen,notallmen,True,True,False,Backlash,Backlash,,Deflection meme predating MeToo; spikes alongside every national wave.,regex,(?:^|[^\p{L}\p{N}_])notallmen(?:[^\p{L}\p{N}_]|$)
Global,#ProtectOurBoys,#ProtectOurBoys,ProtectOurBoys,protectourboys,True,True,False,Backlash,Backlash,,Kavanaugh-era backlash framing sons as at risk from false accusations.,regex,(?:^|[^\p{L}\p{N}_])protectourboys(?:[^\p{L}\p{N}_]|$)
Global,#ThatWasMyMom,#ThatWasMyMom,ThatWasMyMom,thatwasmymom,True,True,False,Ambiguous / Satire of Backlash,Ambiguous,,Pieter Hanson's viral debunk of his mother's #HimToo tweet; marker of the satirical wave inside #HimToo traffic.,regex,(?:^|[^\p{L}\p{N}_])thatwasmymom(?:[^\p{L}\p{N}_]|$)
Global,#TimesUp,#TimesUp,TimesUp,timesup,True,True,False,Support,Support,,Jan 2018 Hollywood-launched legal defense fund and campaign against workplace harassment.,regex,(?:^|[^\p{L}\p{N}_])timesup(?:[^\p{L}\p{N}_]|$)
Global,#WhyIDidntReport,#WhyIDidntReport,WhyIDidntReport,whyididntreport,True,True,False,Support,Support,,"Sept 2018, response to Trump questioning why Christine Blasey Ford waited to report (Kavanaugh hearings).",regex,(?:^|[^\p{L}\p{N}_])whyididntreport(?:[^\p{L}\p{N}_]|$)
