keyword_country,keyword_raw,keyword,kw_match,match_mode,regex_pattern,stance_original,stance_primary,context
Global,#AidToo,#AidToo,aidtoo,word,\baidtoo\b,Support,Support,"2018, after Oxfam Haiti sexual exploitation scandal; abuse in the humanitarian sector."
Global,#BelieveWomen / #BelieveSurvivors,#BelieveWomen,believewomen,word,\bbelievewomen\b,Support,Support,"Solidarity tags; note critics use the strawman variant #BelieveAllWomen mockingly, so that variant skews backlash."
Global,#BelieveWomen / #BelieveSurvivors,#BelieveSurvivors,believesurvivors,word,\bbelievesurvivors\b,Support,Support,"Solidarity tags; note critics use the strawman variant #BelieveAllWomen mockingly, so that variant skews backlash."
Global,#ChurchToo,#ChurchToo,churchtoo,word,\bchurchtoo\b,Support,Support,"Nov 2017, Emily Joy and Hannah Paasch; abuse in (mainly evangelical) churches. Strong uptake in US and Nigeria."
Global,#GymnastAlliance,#GymnastAlliance,gymnastalliance,word,\bgymnastalliance\b,Support,Support,"July 2020, gymnasts (starting in UK) disclosing abusive coaching; spread internationally; follows US Larry Nassar case."
Global,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Ambiguous,Backlash,Multiple meanings over time; peaked Oct 2018 (Kavanaugh) as a men-fear-false-accusations meme after a mother's tweet about her son Pieter Hanson; Hanson repudiated it and the tag was flooded with satire (#ThatWasMyMom). Treat as predominantly backlash but heavily satirical in practice - critical for stance labeling.
Global,#IHave / #IDidThat,#IHave,ihave,word,\bihave\b,Support,Support,Men acknowledging past behavior in response to MeToo.
Global,#IHave / #IDidThat,#IDidThat,ididthat,word,\bididthat\b,Support,Support,Men acknowledging past behavior in response to MeToo.
Global,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support,Support,Coined by Tarana Burke (2006); went viral 15 Oct 2017 via Alyssa Milano tweet after Harvey Weinstein exposes (NYT/New Yorker).
Global,#MeTooEP,#MeTooEP,metooep,word,\bmetooep\b,Support,Support,"Oct 2017+, staffers exposing harassment inside the European Parliament."
Global,#MeTooSTEM,#MeTooSTEM,metoostem,word,\bmetoostem\b,Support,Support,"2018+, harassment in science/academia (BethAnn McLaughlin)."
Global,#MenToo,#MenToo,mentoo,word,\bmentoo\b,Backlash,Backlash,Men's-rights framing positioning men as the movement's victims; especially prominent in India from 2019.
Global,#MosqueMeToo,#MosqueMeToo,mosquemetoo,word,\bmosquemetoo\b,Support,Support,"Feb 2018, Mona Eltahawy; harassment during hajj and in Muslim spaces."
Global,#NotAllMen,#NotAllMen,notallmen,word,\bnotallmen\b,Backlash,Backlash,Deflection meme predating MeToo; spikes alongside every national wave.
Global,#ProtectOurBoys,#ProtectOurBoys,protectourboys,word,\bprotectourboys\b,Backlash,Backlash,Kavanaugh-era backlash framing sons as at risk from false accusations.
Global,#ThatWasMyMom,#ThatWasMyMom,thatwasmymom,word,\bthatwasmymom\b,Ambiguous / Satire of Backlash,Ambiguous,Pieter Hanson's viral debunk of his mother's #HimToo tweet; marker of the satirical wave inside #HimToo traffic.
Global,#TimesUp,#TimesUp,timesup,word,\btimesup\b,Support,Support,Jan 2018 Hollywood-launched legal defense fund and campaign against workplace harassment.
Global,#WhyIDidntReport,#WhyIDidntReport,whyididntreport,word,\bwhyididntreport\b,Support,Support,"Sept 2018, response to Trump questioning why Christine Blasey Ford waited to report (Kavanaugh hearings)."
Global,#WhyIStayed,#WhyIStayed,whyistayed,word,\bwhyistayed\b,Support,Support,2014 precursor on domestic violence (Ray Rice case).
Global,#YesAllWomen,#YesAllWomen,yesallwomen,word,\byesallwomen\b,Support,Support,2014 precursor (post-Isla Vista killings); ubiquity of misogyny/harassment.
Global,false accusations / due process,false accusations,false accusations,word,\bfalse\ accusations\b,Backlash,Backlash,Core backlash vocabulary in commentary and legal-pushback coverage.
Global,false accusations / due process,due process,due process,word,\bdue\ process\b,Backlash,Backlash,Core backlash vocabulary in commentary and legal-pushback coverage.
Global,witch hunt / #WitchHunt,witch hunt,witch hunt,word,\bwitch\ hunt\b,Backlash,Backlash,"Dominant backlash frame in op-eds worldwide (local equivalents: caccia alle streghe, Hexenjagd, chasse aux sorcieres, okhota na vedm)."
Global,witch hunt / #WitchHunt,#WitchHunt,witchhunt,word,\bwitchhunt\b,Backlash,Backlash,"Dominant backlash frame in op-eds worldwide (local equivalents: caccia alle streghe, Hexenjagd, chasse aux sorcieres, okhota na vedm)."
Latin America,#ConMisHijosNoTeMetas,#ConMisHijosNoTeMetas,conmishijosnotemetas,word,\bconmishijosnotemetas\b,Backlash,Backlash,Translates to 'Don't mess with my children' - a broader anti-gender-ideology tag used to push back against feminist initiatives.
Afghanistan,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Afghanistan,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global Localized,Support,Afghanistan: #MeToo spread but women reporting harassment faced high safety risks; local searches often rely on global #MeToo plus Dari/Pashto terms.
Afghanistan,#MeTooAfghanistan,#MeTooAfghanistan,metooafghanistan,word,\bmetooafghanistan\b,Support,Support,Limited wave 2018 around harassment allegations in government offices; 2018-19 Afghanistan Football Federation scandal (president Keramuddin Karim banned by FIFA for abusing women players).
Afghanistan,#من_هم,#من_هم,من_هم,substr,,Support / Translation,Support,Persian/Dari equivalent of #MeToo. Translation/Gloss: Me too.
Afghanistan,Keramuddin Karim,Keramuddin Karim,keramuddin karim,word,\bkeramuddin\ karim\b,Support / Case,Support,AFF president accused of sexually abusing national-team players; FIFA life ban 2019.
Afghanistan,آزار جنسی,آزار جنسی,آزار جنسی,substr,,Support / Generic Term,Support,'Sexual harassment' - corpus-recall term for Dari/Persian coverage.
Afghanistan,آزار_جنسی,آزار_جنسی,آزار_جنسی,substr,,Support / Search Term,Support,Persian/Dari publication/search keyword. Translation/Gloss: sexual harassment/sexual abuse.
Åland Islands,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Åland Islands,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Åland Islands,#tystnadtagning,#tystnadtagning,tystnadtagning,word,\btystnadtagning\b,Support / Sectoral,Support,"Swedish theatre/film sector hashtag, the first joint Swedish #MeToo call. Translation/Gloss: silent shoot."
Åland Islands,sexuella trakasserier,sexuella trakasserier,sexuella trakasserier,word,\bsexuella\ trakasserier\b,Support / Search Term,Support,Swedish publication/search keyword. Translation/Gloss: sexual harassment.
Albania,#EdheUnë,#EdheUnë,edheunë,substr,,Support / Translation,Support,Albanian equivalent of #MeToo. Translation/Gloss: Me too.
Albania,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
Albania,#MeToo,#MeToo,metoo,word,\bmetoo\b,Support / Global,Support,Baseline global #MeToo hashtag; included for every country/territory as the common cross-border search term. Translation/Gloss: Me too.
Albania,ngacmim seksual,ngacmim seksual,ngacmim seksual,word,\bngacmim\ seksual\b,Support / Generic Term,Support,'Sexual harassment'; no distinctive national hashtag wave documented - generic #MeToo used.
Algeria,#HimToo,#HimToo,himtoo,word,\bhimtoo\b,Backlash / Counter,Backlash,Major counter-/backlash hashtag that recast #MeToo through false-accusation or accused-men-as-victims narratives; included as a global backlash search term. Translation/Gloss: Him too.
